id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Households
13011369,13,Georgia,GA,Brooks County,Quitman,Quitman city,City,place,31632,229,10689884,53213,30.784582,-83.560537,54143,37332,55177,1590
13011371,13,Georgia,GA,Habersham County,Baldwin,Raoul,CDP,place,30511,706,5201814,17425,34.457691,-83.600862,65072,59275,64835,311
13011373,13,Georgia,GA,Wilkes County,Washington,Rayle,Town,place,30673,706,2653018,50775,33.791336,-82.908545,59978,300000,55821,52
13011375,13,Georgia,GA,DeKalb County,Lithonia,Redan,CDP,place,30058,678,24894894,312610,33.737554,-84.160019,83512,78091,86181,11773
13011377,13,Georgia,GA,Bulloch County,Statesboro,Register,Town,place,30458,912,2015724,18315,32.36453,-81.880493,89430,100896,76253,53
13011379,13,Georgia,GA,Lowndes County,Valdosta,Remerton city,City,place,31601,229,528272,484,30.843788,-83.308928,30727,24202,30133,553
13011381,13,Georgia,GA,Gordon County,Resaca,Resaca,Town,place,30735,706,7158100,148000,34.579365,-84.943824,125493,79115,149294,301
13011383,13,Georgia,GA,Hall County,Buford,Rest Haven,Town,place,30518,770,895978,15744,34.131418,-83.975544,51654,300000,44316,17
13011385,13,Georgia,GA,Dodge County,Milan,Rhine,Town,place,31060,229,8117866,18229,31.989315,-83.200435,103642,61827,135372,219
13011387,13,Georgia,GA,Stewart County,Preston,Richland city,City,place,31824,229,8289156,115273,32.088762,-84.662001,96567,52909,132906,602
13011389,13,Georgia,GA,Washington County,Sandersville,Riddleville,Town,place,31082,478,1984712,46817,32.902739,-82.664984,149578,152721,153741,24
13011391,13,Georgia,GA,Catoosa County,Ringgold,Ringgold city,City,place,30736,706,12638631,0,34.913992,-85.122112,63043,61319,61525,1406
13011393,13,Georgia,GA,Colquitt County,Moultrie,Riverside,Town,place,31768,229,540792,7577,31.178282,-83.804328,38610,300000,33357,9
13011395,13,Georgia,GA,Houston County,Warner Robins,Robins AFB,CDP,place,31088,478,7136646,74321,32.609854,-83.582714,121269,92607,131235,285
13011397,13,Georgia,GA,Bacon County,Alma,Rockingham,CDP,place,31510,912,3033582,18364,31.541897,-82.417776,77781,86915,69346,115
13011399,13,Georgia,GA,Screven County,Portal,Rocky Ford,Town,place,30450,912,3136056,70641,32.663507,-81.835465,47816,55291,44485,86
13011401,13,Georgia,GA,Carroll County,Roopville,Roopville,Town,place,30170,770,2045227,0,33.456639,-85.130407,76405,84728,69595,121
13011403,13,Georgia,GA,Cobb County,Roswell,Roswell city,City,place,30075,770,105445793,3323799,34.039453,-84.350946,0,0,0,0
13011405,13,Georgia,GA,Franklin County,Royston,Royston city,City,place,30662,706,8826795,48222,34.285724,-83.11,44795,36998,33723,773
13011407,13,Georgia,GA,Madison County,Royston,Royston city,City,place,30662,706,8826795,48222,34.285724,-83.11,0,0,0,0
13011409,13,Georgia,GA,Morgan County,Social Circle,Rutledge city,City,place,30025,770,8474859,86332,33.625654,-83.609698,95605,86552,97376,376
13011411,13,Georgia,GA,Glynn County,Saint Simons Island,St. Simons,CDP,place,31522,912,41636270,2628834,31.176618,-81.385627,164687,163525,172907,6378
13011413,13,Georgia,GA,Upson County,Roberta,Salem,CDP,place,31078,478,21495718,19540,32.758587,-84.193624,59372,63680,55853,114
13011415,13,Georgia,GA,Fulton County,Atlanta,Sandy Springs city,City,place,30328,404,97526360,2245984,33.931502,-84.368673,196109,231458,202819,43058
13011417,13,Georgia,GA,Burke County,Sardis,Sardis city,City,place,30456,912,4006687,38550,32.975073,-81.76151,51686,52607,51574,343
13011419,13,Georgia,GA,Jeff Davis County,Hazlehurst,Satilla,CDP,place,31539,912,7770841,35387,31.791866,-82.559167,63200,250000,-1,126
13011421,13,Georgia,GA,Chatham County,Savannah,Savannah city,City,place,31406,912,268318796,13908113,32.002507,-81.153572,102346,82662,117984,52798
13011423,13,Georgia,GA,Wheeler County,Mc Rae,Scotland city,City,place,31055,229,3714606,66315,32.047572,-82.818479,27366,300000,21204,15
13011425,13,Georgia,GA,Wayne County,Screven,Screven city,City,place,31560,912,5585894,56656,31.484153,-82.016879,77841,71618,81567,300
13011427,13,Georgia,GA,Wilcox County,Rochelle,Seville,CDP,place,31079,229,2201048,30652,31.960953,-83.600641,40692,41973,39439,69
13011429,13,Georgia,GA,Floyd County,Rome,Shannon,CDP,place,30161,706,12898846,111480,34.340318,-85.084083,90179,78939,102914,707
13011431,13,Georgia,GA,Coweta County,Sharpsburg,Sharpsburg,Town,place,30277,770,2598010,17585,33.337966,-84.65105,204479,249727,211126,187
13011433,13,Georgia,GA,Harris County,Warm Springs,Shiloh city,City,place,31830,706,5818445,69930,32.81158,-84.698708,112393,300000,126838,209
13011435,13,Georgia,GA,Chatham County,Savannah,Skidaway Island,CDP,place,31406,912,42630737,3554018,31.937772,-81.046395,191994,207132,194750,3596
13011437,13,Georgia,GA,Lee County,Americus,Smithville city,City,place,31709,229,6490650,0,31.901276,-84.255243,70246,78689,66068,212
13011439,13,Georgia,GA,Gwinnett County,Snellville,Snellville city,City,place,30078,770,27107056,331252,33.86032,-84.006123,115832,97677,123575,6186
13011441,13,Georgia,GA,Walton County,Social Circle,Social Circle city,City,place,30025,770,36747563,327542,33.649929,-83.708357,72335,72840,72409,1488
13011443,13,Georgia,GA,Cook County,Sparks,Sparks,Town,place,31647,229,10128066,592720,31.169034,-83.441216,67348,58414,83545,804
13011445,13,Georgia,GA,Effingham County,Springfield,Springfield city,City,place,31329,912,7117331,0,32.364232,-81.307871,71574,72624,67872,900
13011447,13,Georgia,GA,Bulloch County,Statesboro,Statesboro city,City,place,30458,912,38231580,1127834,32.437679,-81.775576,68844,52464,88595,10454
13011449,13,Georgia,GA,Emanuel County,Metter,Stillmore city,City,place,30439,912,8006556,280838,32.441609,-82.214484,67082,66481,67036,220
13011451,13,Georgia,GA,DeKalb County,Stone Mountain,Stone Mountain city,City,place,30083,678,4248810,23117,33.80258,-84.171749,87276,88747,78781,2423
13011453,13,Georgia,GA,Emanuel County,Twin City,Summertown city,City,place,30471,478,2036969,10987,32.745239,-82.276859,62893,59190,54890,59
13011455,13,Georgia,GA,Worth County,Sylvester,Sumner,Town,place,31791,229,4588431,0,31.510337,-83.736838,105839,84481,122880,155
13011457,13,Georgia,GA,Ware County,Waycross,Sunnyside,CDP,place,31501,912,3634553,157473,31.239489,-82.341783,129218,93950,147557,522
13011459,13,Georgia,GA,Appling County,Baxley,Surrency,Town,place,31513,912,2001892,4230,31.721916,-82.197823,82324,55660,110179,91
13011461,13,Georgia,GA,Emanuel County,Swainsboro,Swainsboro city,City,place,30401,478,32578484,942344,32.585588,-82.334784,94128,67086,119732,2348
13011463,13,Georgia,GA,Screven County,Sylvania,Sylvania city,City,place,30467,912,12933914,211985,32.747181,-81.640682,73733,70807,83336,967
13011465,13,Georgia,GA,Chatham County,Savannah,Talahi Island,CDP,place,31410,912,3333162,492007,32.032958,-80.976074,166379,300000,173088,572
13011467,13,Georgia,GA,Pickens County,Jasper,Talking Rock,Town,place,30143,706,3853319,0,34.527651,-84.494087,53916,53995,51514,26
13011469,13,Georgia,GA,Habersham County,Clarkesville,Tallulah Falls,Town,place,30523,706,20929993,1176410,34.721222,-83.377089,57810,300000,44719,32
13011471,13,Georgia,GA,Jackson County,Talmo,Talmo,Town,place,30575,706,5624570,63511,34.18367,-83.717445,92244,84846,85631,77
13011473,13,Georgia,GA,Towns County,Rabun Gap,Tate City,CDP,place,30568,706,2667052,55343,34.976365,-83.551469,0,0,0,0
13011475,13,Georgia,GA,Polk County,Taylorsville,Taylorsville,Town,place,30178,770,3863821,1102,34.085129,-84.985629,63835,300000,51332,5
13011477,13,Georgia,GA,Haralson County,Temple,Temple city,City,place,30179,770,17624134,246608,33.733245,-85.027295,0,0,0,0
13011479,13,Georgia,GA,Upson County,Thomaston,The Rock,CDP,place,30286,706,10772693,311870,32.960715,-84.239175,78828,300000,70899,79
13011481,13,Georgia,GA,Thomas County,Thomasville,Thomasville city,City,place,31792,229,38881083,342461,30.839422,-83.978781,99489,74731,118205,7586
13011483,13,Georgia,GA,Chatham County,Thunderbolt,Thunderbolt,Town,place,31404,912,3475646,586528,32.035729,-81.049204,120167,95029,128721,1016
13011485,13,Georgia,GA,Rabun County,Tiger,Tiger,Town,place,30576,706,2145335,1847,34.846066,-83.432562,46546,37741,45897,161
13011487,13,Georgia,GA,Stephens County,Toccoa,Toccoa city,City,place,30577,706,24622731,180937,34.580656,-83.32622,106937,77827,130190,2828
13011489,13,Georgia,GA,Dade County,Trenton,Trenton city,City,place,30752,706,8328436,0,34.874147,-85.50965,81310,72889,89556,834
13011491,13,Georgia,GA,Whitfield County,Tunnel Hill,Tunnel Hill city,City,place,30755,706,4155971,2070,34.855413,-85.036778,100821,87688,107196,378
13011493,13,Georgia,GA,Emanuel County,Twin City,Twin City city,City,place,30471,478,9255784,104400,32.582227,-82.159379,54572,48013,37462,569
13011495,13,Georgia,GA,Fayette County,Tyrone,Tyrone,Town,place,30290,770,32480892,978920,33.476059,-84.594522,166040,164810,170045,2464
13011497,13,Georgia,GA,Dooly County,Pinehurst,Unadilla city,City,place,31070,229,15652067,99524,32.257284,-83.735898,51874,50121,53095,868
13011499,13,Georgia,GA,Greene County,Union Point,Union Point city,City,place,30669,706,4966110,66894,33.617201,-83.076333,45937,42456,46652,599
13011501,13,Georgia,GA,Montgomery County,Lyons,Uvalda city,City,place,30436,912,4901984,33221,32.038084,-82.507459,62810,78233,-1,199
13011503,13,Georgia,GA,Whitfield County,Dalton,Varnell city,City,place,30721,706,8778066,0,34.892856,-84.964906,106297,89197,114163,637
13011505,13,Georgia,GA,Montgomery County,Vidalia,Vidalia city,City,place,30474,912,44966879,911683,32.213901,-82.40302,148701,270883,141059,61
13011507,13,Georgia,GA,Burke County,Louisville,Vidette city,City,place,30434,478,2521335,958,33.037031,-82.247437,79617,87394,72390,42
13011509,13,Georgia,GA,Carroll County,Villa Rica,Villa Rica city,City,place,30180,770,36444865,386304,33.73324,-84.915226,93448,82629,101788,3455
13011511,13,Georgia,GA,Cobb County,Smyrna,Vinings,CDP,place,30080,770,8096811,271725,33.860636,-84.468708,172936,176397,181318,5793
13011513,13,Georgia,GA,Jefferson County,Wadley,Wadley city,City,place,30477,478,11800643,113718,32.86479,-82.402802,36138,28602,34694,695
13011515,13,Georgia,GA,Walton County,Covington,Walnut Grove city,City,place,30014,770,7906005,86482,33.74786,-83.849962,97096,86353,102050,450
13011517,13,Georgia,GA,Meriwether County,Warm Springs,Warm Springs city,City,place,31830,706,3491707,89329,32.887196,-84.678624,59418,67436,-1,183
13011519,13,Georgia,GA,Peach County,Warner Robins,Warner Robins city,City,place,31088,478,93514656,755694,32.597096,-83.653936,54329,300000,41027,250
13011521,13,Georgia,GA,Worth County,Cordele,Warwick city,City,place,31015,229,2103362,0,31.82979,-83.920625,34856,23169,34966,179
13011523,13,Georgia,GA,Oconee County,Watkinsville,Watkinsville city,City,place,30677,706,8462039,96961,33.861744,-83.40757,102964,94155,105977,995
13011525,13,Georgia,GA,Pierce County,Waycross,Waycross city,City,place,31501,912,30695301,239792,31.211006,-82.357658,0,0,0,0
13011527,13,Georgia,GA,Burke County,Waynesboro,Waynesboro city,City,place,30830,706,14185274,136229,33.091279,-82.01429,68165,58886,82799,2073
13011529,13,Georgia,GA,Harris County,West Point,West Point city,City,place,31833,706,29232472,399851,32.898518,-85.141499,119594,101473,131326,298
13011531,13,Georgia,GA,Grady County,Whigham,Whigham city,City,place,39897,229,3039218,30009,30.883895,-84.327368,52994,61359,49294,239
13011533,13,Georgia,GA,Chatham County,Savannah,Whitemarsh Island,CDP,place,31410,912,14657915,2538839,32.030521,-81.012595,168634,177368,178141,2950
13011535,13,Georgia,GA,Carroll County,Whitesburg,Whitesburg city,City,place,30185,770,7171095,72126,33.492068,-84.9143,138476,89602,164837,230
13011537,13,Georgia,GA,Pike County,Griffin,Williamson city,City,place,30224,770,2598693,9293,33.179078,-84.359767,82413,88807,79499,119
13011539,13,Georgia,GA,Barrow County,Winder,Winder city,City,place,30680,770,35115581,1321199,33.992305,-83.722024,98795,83583,109527,5053
13011541,13,Georgia,GA,Camden County,Woodbine,Woodbine city,City,place,31569,912,6490961,157557,30.959855,-81.718098,111790,106996,120146,506
13011543,13,Georgia,GA,Talbot County,Manchester,Woodland city,City,place,31816,706,2033605,14401,32.788217,-84.561221,82740,80508,84716,154
13011545,13,Georgia,GA,Greene County,Union Point,Woodville city,City,place,30669,706,12660533,41562,33.667106,-83.106093,70236,68981,71287,146
13011547,13,Georgia,GA,Jefferson County,Wrens,Wrens city,City,place,30833,706,8115495,17337,33.207434,-82.387583,75738,74809,78329,1005
13011549,13,Georgia,GA,Upson County,Barnesville,Yatesville,Town,place,30204,770,2235914,33849,32.913416,-84.142713,118098,84574,130963,188
13011551,13,Georgia,GA,Towns County,Hiawassee,Young Harris city,City,place,30546,706,2750847,1530,34.936434,-83.847052,108122,101726,126481,135
1501168,15,Hawaii,HI,Honolulu County,Kaneohe,Ahuimanu,CDP,place,96744,808,6978697,0,21.437891,-157.84033,161269,153189,164919,2685
1501170,15,Hawaii,HI,Hawaii County,Pahoa,Ainaloa,CDP,place,96778,808,5113852,0,19.521455,-154.994389,66108,72875,66468,1144
1501172,15,Hawaii,HI,Hawaii County,Kealakekua,Captain Cook,CDP,place,96750,808,33296949,0,19.499545,-155.89368,175962,183542,181317,1357
1501174,15,Hawaii,HI,Honolulu County,Honolulu,East Honolulu,CDP,place,96825,808,59600141,29652518,21.288485,-157.717889,195817,212054,197453,16737
1501176,15,Hawaii,HI,Kauai County,Eleele,Eleele,CDP,place,96705,808,2008044,802777,21.906047,-159.582774,131819,123426,135337,742
1501178,15,Hawaii,HI,Honolulu County,Ewa Beach,Ewa Gentry,CDP,place,96706,808,5520256,0,21.334411,-158.026232,140279,120708,144072,6876
1501180,15,Hawaii,HI,Hawaii County,Kurtistown,Fern Acres,CDP,place,96760,808,17631688,0,19.508223,-155.078544,69507,71109,70258,531
1501182,15,Hawaii,HI,Kauai County,Hanalei,Haena,CDP,place,96714,808,3762287,0,22.218503,-159.56109,70605,62539,73894,119
1501184,15,Hawaii,HI,Hawaii County,Kapaau,Halaula,CDP,place,96755,808,6864371,759628,20.228721,-155.777836,102235,93705,96629,146
1501186,15,Hawaii,HI,Honolulu County,Haleiwa,Haleiwa,CDP,place,96712,808,5913385,1833226,21.590059,-158.108648,114315,97831,123422,1123
1501188,15,Hawaii,HI,Maui County,Hana,Hana,CDP,place,96713,808,27344357,2959534,20.773975,-156.014258,152660,116671,169494,378
1501190,15,Hawaii,HI,Kauai County,Lihue,Hanamaulu,CDP,place,96766,808,3294193,459252,21.996911,-159.347097,113410,95440,121333,1129
